"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","PRT.NGDPDPC.A","OBS_VALUE","Portugal","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","19914.852","21352.268","23436.023","23192.200","22093.250","24618.869","24558.600","27394.200","28886.507","31414.528"
"IMF.RES:WEO(9.0.0)","AUS.GGXWDG_NGDP.A","OBS_VALUE","Australia","Gross debt, General government, Percent of GDP","Annual","Units","40.621","41.196","41.758","46.720","57.077","55.516","50.213","49.582","50.715","51.037"
"IMF.RES:WEO(9.0.0)","TUR.GGXWDG_NGDP.A","OBS_VALUE","Türkiye, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","27.710","27.620","29.504","31.770","38.731","39.419","30.171","28.673","24.035","24.292"
"IMF.RES:WEO(9.0.0)","TUR.NID_NGDP.A","OBS_VALUE","Türkiye, Republic of","Gross capital formation, Percent of GDP","Annual","Units","29.829","32.795","31.341","27.506","34.154","34.376","38.602","34.588","30.731","31.543"
"IMF.RES:WEO(9.0.0)","AUS.NID_NGDP.A","OBS_VALUE","Australia","Gross capital formation, Percent of GDP","Annual","Units","24.739","24.371","24.296","22.699","22.478","23.492","23.932","23.983","24.654","24.318"
"IMF.RES:WEO(9.0.0)","ESP.NID_NGDP.A","OBS_VALUE","Spain","Gross capital formation, Percent of GDP","Annual","Units","19.061","19.566","20.706","20.909","20.627","21.874","22.690","21.121","21.173","21.675"
"IMF.RES:WEO(9.0.0)","AUS.NGDPDPC.A","OBS_VALUE","Australia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","51779.440","55781.958","56356.895","54320.676","53165.336","64245.002","65555.252","64639.952","65528.884","65946.015"
"IMF.RES:WEO(9.0.0)","NZL.NGDPDPC.A","OBS_VALUE","New Zealand","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","39453.170","42329.974","42796.836","42396.594","41541.377","49128.727","48177.353","48814.052","48839.300","49383.388"
"IMF.RES:WEO(9.0.0)","TUR.NGDPDPC.A","OBS_VALUE","Türkiye, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","10978.312","10756.742","9917.054","9387.652","8758.704","9836.039","10881.992","13516.335","15882.446","18197.575"
"IMF.RES:WEO(9.0.0)","ARG.NGDPDPC.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","12772.868","14618.327","11786.433","9941.590","8489.332","10610.191","13702.230","13908.489","13523.326","14358.848"
"IMF.RES:WEO(9.0.0)","G200.NID_NGDP.A","OBS_VALUE","Emerging Market and Developing Economies","Gross capital formation, Percent of GDP","Annual","Units","31.384","31.675","32.428","32.051","32.163","33.322","32.949","32.088","31.631","30.753"
"IMF.RES:WEO(9.0.0)","G200.GGXWDG_NGDP.A","OBS_VALUE","Emerging Market and Developing Economies","Gross debt, General government, Percent of GDP","Annual","Units","48.302","50.500","51.700","54.126","63.598","62.694","62.916","66.880","69.006","72.689"
"IMF.RES:WEO(9.0.0)","G205.GGXWDG_NGDP.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross debt, General government, Percent of GDP","Annual","Units","60.253","62.552","66.188","67.156","76.084","70.359","67.886","73.468","69.829","72.610"
"IMF.RES:WEO(9.0.0)","ZAF.NID_NGDP.A","OBS_VALUE","South Africa","Gross capital formation, Percent of GDP","Annual","Units","16.960","16.611","16.171","15.821","12.346","12.836","15.672","15.391","14.070","13.143"
"IMF.RES:WEO(9.0.0)","ZAF.GGXWDG_NGDP.A","OBS_VALUE","South Africa","Gross debt, General government, Percent of GDP","Annual","Units","47.134","48.588","51.536","56.101","68.927","68.819","70.715","73.220","75.965","77.341"
"IMF.RES:WEO(9.0.0)","NZL.NID_NGDP.A","OBS_VALUE","New Zealand","Gross capital formation, Percent of GDP","Annual","Units","23.011","23.338","24.226","24.063","22.235","25.003","26.323","24.269","23.072","22.531"
"IMF.RES:WEO(9.0.0)","ZAF.NGDPDPC.A","OBS_VALUE","South Africa","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5721.189","6647.093","6956.410","6582.757","5630.983","6923.875","6640.434","6132.740","6364.662","6666.705"
"IMF.RES:WEO(9.0.0)","COL.GGXWDG_NGDP.A","OBS_VALUE","Colombia","Gross debt, General government, Percent of GDP","Annual","Units","49.904","49.449","51.761","50.972","65.274","64.417","61.300","55.457","61.236","58.867"
